Renner	Prijs	Team	OML	KBK	SAM	STR	NOK	BKC	MSR	RVB	E3	IFF	DDV	RVV	SP	PR	RVL	BRP	AGR	WAP	LBL
CARUSO Damiano	4	Bahrain - Victorious	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ROMEO Iván	4	Movistar Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BENNETT Sam	4	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0
VAN UDEN Casper	4	Team Picnic PostNL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAUHAUS Phil	4	Bahrain - Victorious	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
TILLER Rasmus	4	Uno-X Mobility	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
VELASCO Simone	4	XDS Astana Team	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BERNAL Egan	4	INEOS Grenadiers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARENSMAN Thymen	4	INEOS Grenadiers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAVIRIA Fernando	4	Caja Rural - Seguros RGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
RICCITELLO Matthew	4	Decathlon CMA CGM Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAUDU David	4	Groupama - FDJ United	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RODRÍGUEZ Carlos	4	INEOS Grenadiers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WELSFORD Sam	4	INEOS Grenadiers	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0
GEOGHEGAN HART Tao	4	Lidl - Trek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAS Enric	4	Movistar Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASTRILLO Pablo	4	Movistar Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUBIO Einer	4	Movistar Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERNON Ethan	4	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LUTSENKO Alexey	4	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HARPER Chris	4	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUNBAR Eddie	4	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VLASOV Aleksandr	4	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LANDA Mikel	4	Soudal - Quick Step	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAYTER Ethan	4	Soudal - Quick Step	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARET-PEINTRE Valentin	4	Soudal - Quick Step	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PLAPP Luke	4	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEKHOFF Nils	4	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POOLE Max	4	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMPENAERTS Victor	4	Team Visma | Lease a Bike	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JEGAT Jordan	4	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE KLEIJN Arvid	4	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOLER Marc	4	UAE Team Emirates - XRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEKNESSUND Andreas	4	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
TRÆEN Torstein	4	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORTUNATO Lorenzo	4	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE SCHUYTENEER Steffen	3	Lotto Intermarché	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
VAN DIJKE Tim	3	Red Bull - BORA - hansgrohe	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0
ANIOŁKOWSKI Stanisław	3	Cofidis	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0
DE GENDT Aimé	3	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0
HAGENES Per Strand	3	Team Visma | Lease a Bike	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0
BIERMANS Jenthe	3	Cofidis	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
GOVEKAR Matevž	3	Bahrain - Victorious	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0
BARRENETXEA Jon	3	Movistar Team	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0
VENDRAME Andrea	3	Team Jayco AlUla	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
HUENS Axel	3	Groupama - FDJ United	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0
DEWULF Stan	3	Decathlon CMA CGM Team	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0
RENARD Alexis	3	Cofidis	1	1	1	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0
SÉNÉCHAL Florian	3	Alpecin-Premier Tech	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0
VALGREN Michael	3	EF Education - EasyPost	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0
CANAL Carlos	3	Movistar Team	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
ZAMBANINI Edoardo	3	Bahrain - Victorious	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
BRAET Vito	3	Lotto Intermarché	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0
GRUEL Thibaud	3	Groupama - FDJ United	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0
PAGE Hugo	3	Cofidis	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0
KRON Andreas	3	Uno-X Mobility	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
PLANCKAERT Edward	3	Alpecin-Premier Tech	1	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0
TEUTENBERG Tim Torn	3	Lidl - Trek	1	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0
MIQUEL Pau	3	Bahrain - Victorious	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0
LABROSSE Jordan	3	Decathlon CMA CGM Team	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
TESSON Jason	3	TotalEnergies	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
VAN ASBROECK Tom	3	NSN Cycling Team	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0
GROßSCHARTNER Felix	3	UAE Team Emirates - XRG	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
THEUNS Edward	3	Lidl - Trek	1	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0
DEGENKOLB John	3	Team Picnic PostNL	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0
BEULLENS Cedric	3	Lotto Intermarché	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0
LIEPIŅŠ Emīls	3	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0
DUJARDIN Sandy	3	TotalEnergies	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0
